grax.currentID,grax.deletedAt,grax.deleteSource,grax.restoredFromRecordID,grax.restoredAt,grax.deletedByActivityID,grax.deletedByUser,grax.restoredByActivityID,grax.restoredByUser,Id,LastModifiedDate,CreatedDate,AccountId,Amount,CloseDate,StageName,Type,Snapshot Date
0064o00000WgkBNAAZ,,,,,,,,,0064o00000WgkBNAAZ,2022-03-09T22:35:46.000+0000,2020-04-29T20:58:47.000+0000,0014o00001gMcG2AAK,1.32e+06,2025-05-25,Qualifying,Renewal,04/30/2023
0064o00000WhASSAA3,,,,,,,,,0064o00000WhASSAA3,2023-04-26T18:09:26.000+0000,2020-05-06T18:35:38.000+0000,0014o00001hckVfAAI,72000,2023-06-30,Qualifying,Renewal,04/30/2023
0064o00000WhAsCAAV,,,,,,,,,0064o00000WhAsCAAV,2022-03-09T22:35:46.000+0000,2020-05-06T19:20:39.000+0000,0014600001KuX70AAF,540000,2025-01-25,Qualifying,Renewal,04/30/2023
0064o00000WhB3WAAV,,,,,,,,,0064o00000WhB3WAAV,2022-03-09T22:35:46.000+0000,2020-05-06T19:41:59.000+0000,0014o00001hbwRpAAI,324000,2024-08-15,Qualifying,Renewal,04/30/2023
0064o00000WhBkXAAV,,,,,,,,,0064o00000WhBkXAAV,2023-03-24T17:43:12.000+0000,2020-05-06T20:41:28.000+0000,0014600001YXLXyAAP,156000,2025-10-01,Qualifying,Renewal,04/30/2023
0064o00000WhD8KAAV,,,,,,,,,0064o00000WhD8KAAV,2023-04-27T13:44:21.000+0000,2020-05-07T13:35:13.000+0000,0014600001cZ2HCAA0,61750,2023-07-13,Qualifying,Renewal,04/30/2023
0064o00000XZfe5AAD,,,,,,,,,0064o00000XZfe5AAD,2023-04-18T11:02:21.000+0000,2020-06-30T14:48:29.000+0000,0014o00001j1P1JAAU,36000,2023-09-03,Qualifying,Renewal,04/30/2023
0064o00000XaolLAAR,,,,,,,,,0064o00000XaolLAAR,2023-04-26T01:33:51.000+0000,2020-07-14T15:15:05.000+0000,0014600001acTn1AAE,132000,2024-10-01,Qualifying,Renewal,04/30/2023
0064o00000YOd1tAAD,,,,,,,,,0064o00000YOd1tAAD,2023-04-19T18:21:12.000+0000,2020-09-30T16:47:09.000+0000,0014o00001gLmvmAAC,84000,2023-08-15,Prospecting,Renewal,04/30/2023
0064o00000YOtiMAAT,,,,,,,,,0064o00000YOtiMAAT,2022-02-28T14:55:33.000+0000,2020-10-22T16:05:44.000+0000,0014600000izBftAAE,342000,2025-01-02,Prospecting,Renewal,04/30/2023
0064o00000aBvGmAAK,,,,,,,,,0064o00000aBvGmAAK,2023-04-25T20:41:46.000+0000,2021-09-10T14:40:40.000+0000,0014o00001k6mvDAAQ,0,2023-05-15,Negotiating,New Business,04/30/2023
0064o00000aF5xBAAS,,,,,,,,,0064o00000aF5xBAAS,2023-04-20T16:16:42.000+0000,2021-12-21T18:34:55.000+0000,001460000134q7DAAQ,145000,2023-12-31,Prospecting,New Business,04/30/2023
0068X00001APAcYQAX,,,,,,,,,0068X00001APAcYQAX,2023-04-19T18:44:02.000+0000,2022-03-11T15:30:18.000+0000,0014o00001fjk20AAA,82500,2023-09-30,Proposal,New Business,04/30/2023
0068X00001APNyGQAX,,,,,,,,,0068X00001APNyGQAX,2023-03-03T14:09:14.000+0000,2022-04-04T20:50:55.000+0000,0014o00001k5vJBAAY,83666.66,2023-07-01,Prospecting,Renewal,04/30/2023
0068X00001APxkzQAD,,,,,,,,,0068X00001APxkzQAD,2023-04-26T17:32:35.000+0000,2022-05-06T08:29:53.000+0000,0014600001eKpPRAA0,47833,2023-05-06,Prospecting,Renewal,04/30/2023
0068X00001AQKDqQAP,,,,,,,,,0068X00001AQKDqQAP,2023-04-18T11:34:01.000+0000,2022-05-13T16:01:55.000+0000,0014o00001mUqxzAAC,107625,2023-07-01,Prospecting,Renewal,04/30/2023
0068X00001AQqjkQAD,,,,,,,,,0068X00001AQqjkQAD,2023-04-19T18:38:52.000+0000,2022-05-19T20:36:57.000+0000,0014o00001k6mo0AAA,110000,2023-08-31,Prospecting,New Business,04/30/2023
